                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6791,                 1.0664,                0.97394,                0.89984,                0.73493,                0.81161,                0.40947,                 1.8122,                0.93719,                0.90518,              0.0033325,              0.0033325,              0.0033325
                      1,                 1.6219,                0.80396,                0.96733,                0.92776,                0.78428,                 0.8453,                0.47655,                 1.6107,                0.81728,                0.88021,              0.0066328,              0.0066328,              0.0066328
                      2,                 1.6418,                 0.8387,                0.97496,                0.92214,                0.77048,                0.84333,                0.46472,                 1.6397,                0.85585,                0.88165,              0.0099002,              0.0099002,              0.0099002
                      3,                 1.5821,                0.80319,                0.96631,                0.93845,                 0.8007,                0.86491,                0.50989,                 1.5174,                 0.7714,                0.86808,              0.0098515,              0.0098515,              0.0098515
                      4,                  1.452,                0.71687,                0.94104,                0.94224,                0.81074,                0.87505,                0.53542,                 1.4326,                0.72043,                0.85729,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3796,                 0.6739,                0.92653,                0.94706,                0.81943,                0.88299,                0.55541,                 1.3615,                0.67647,                0.84841,               0.009802,               0.009802,               0.009802
                      6,                 1.3236,                 0.6416,                0.91379,                0.95148,                0.82064,                0.88504,                0.56775,                  1.333,                0.65796,                0.84468,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2812,                0.62075,                0.90841,                 0.9511,                0.82615,                 0.8883,                0.57766,                 1.3085,                0.64636,                0.84182,               0.009703,               0.009703,               0.009703
                      8,                 1.2471,                 0.6036,                0.90383,                0.95428,                0.82713,                0.89055,                0.58541,                 1.2885,                0.63487,                0.83911,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2154,                0.58821,                0.89666,                0.95568,                0.83067,                0.89312,                0.59206,                 1.2698,                0.62475,                 0.8367,               0.009604,               0.009604,               0.009604
                     10,                 1.1975,                0.58016,                0.89239,                0.95602,                0.83148,                0.89461,                0.59766,                 1.2526,                0.61754,                 0.8348,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1758,                0.56799,                0.88853,                 0.9572,                0.83336,                0.89693,                  0.604,                 1.2349,                0.60975,                0.83266,               0.009505,               0.009505,               0.009505
                     12,                 1.1608,                0.56064,                0.88584,                0.95901,                 0.8339,                0.89831,                0.61056,                  1.213,                0.59929,                0.83006,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1404,                0.55108,                0.88373,                0.96063,                0.83471,                0.89993,                0.61657,                 1.1956,                0.58989,                0.82799,               0.009406,               0.009406,               0.009406
                     14,                  1.133,                0.54627,                0.88227,                0.95959,                0.83674,                 0.9009,                0.62207,                 1.1784,                0.58181,                0.82585,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1204,                0.54205,                0.87935,                0.96076,                0.83868,                0.90254,                0.62789,                 1.1601,                0.57342,                0.82362,               0.009307,               0.009307,               0.009307
                     16,                 1.1105,                0.53787,                0.87681,                0.96218,                0.83948,                0.90347,                0.63272,                 1.1409,                0.56501,                0.82173,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0996,                0.53019,                0.87591,                0.96304,                 0.8403,                0.90442,                 0.6381,                 1.1253,                  0.558,                0.81967,               0.009208,               0.009208,               0.009208
                     18,                 1.0938,                0.52962,                0.87526,                0.96289,                0.84047,                0.90503,                0.64272,                 1.1105,                0.55232,                0.81799,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0856,                0.52542,                0.87446,                0.96328,                0.84155,                0.90602,                0.64664,                 1.0966,                0.54553,                0.81646,               0.009109,               0.009109,               0.009109
                     20,                 1.0786,                0.52221,                0.87373,                0.96188,                0.84287,                0.90718,                 0.6512,                  1.083,                0.53843,                0.81488,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0768,                0.52109,                0.87203,                0.96278,                 0.8428,                0.90781,                0.65472,                 1.0725,                0.53392,                0.81381,                0.00901,                0.00901,                0.00901
                     22,                 1.0682,                0.51697,                0.87237,                0.96426,                0.84206,                0.90808,                0.65723,                 1.0643,                 0.5315,                0.81289,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0617,                0.51297,                0.86868,                0.96373,                0.84235,                0.90817,                0.65989,                 1.0563,                0.52776,                0.81189,               0.008911,               0.008911,               0.008911
                     24,                 1.0574,                0.50938,                0.86834,                0.96419,                 0.8427,                0.90846,                0.66145,                 1.0496,                 0.5238,                0.81112,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0533,                0.50929,                0.86874,                0.96346,                0.84297,                 0.9088,                 0.6638,                 1.0418,                0.51935,                0.80998,               0.008812,               0.008812,               0.008812
                     26,                 1.0434,                 0.5046,                0.86824,                0.96446,                0.84314,                0.90929,                0.66526,                 1.0352,                0.51443,                0.80916,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.044,                0.50503,                0.86773,                0.96355,                0.84424,                0.90953,                 0.6673,                 1.0271,                0.50984,                0.80836,               0.008713,               0.008713,               0.008713
                     28,                 1.0329,                0.50013,                0.86574,                0.96344,                0.84467,                0.90941,                0.66913,                 1.0227,                0.50609,                0.80761,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0305,                0.49895,                0.86635,                0.96266,                0.84499,                0.90973,                0.67124,                 1.0163,                0.50318,                 0.8069,               0.008614,               0.008614,               0.008614
                     30,                 1.0288,                0.49721,                0.86536,                0.96229,                0.84522,                0.91009,                0.67307,                 1.0097,                0.50206,                0.80619,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0243,                0.49534,                0.86419,                0.96058,                0.84673,                0.91046,                0.67478,                 1.0051,                0.49922,                0.80558,               0.008515,               0.008515,               0.008515
                     32,                 1.0253,                0.49609,                 0.8641,                0.96164,                0.84683,                0.91056,                0.67591,                  1.001,                0.49798,                0.80514,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0239,                0.49577,                0.86166,                  0.963,                0.84479,                0.91024,                0.67682,                0.99617,                0.49604,                0.80465,               0.008416,               0.008416,               0.008416
                     34,                 1.0132,                0.48992,                0.86258,                0.96345,                0.84504,                0.91087,                0.67831,                0.99073,                0.49332,                0.80419,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0112,                0.48966,                0.86324,                0.96263,                 0.8458,                0.91125,                0.67893,                0.98886,                0.49112,                0.80382,               0.008317,               0.008317,               0.008317
                     36,                 1.0101,                0.48787,                0.86275,                0.96078,                0.84776,                0.91164,                0.68002,                0.98438,                0.48972,                0.80326,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0071,                 0.4862,                0.86241,                0.96379,                0.84728,                0.91163,                0.68081,                0.98218,                0.48904,                0.80283,               0.008218,               0.008218,               0.008218
                     38,                 1.0045,                 0.4858,                0.86048,                0.96475,                 0.8471,                0.91137,                0.68182,                0.97864,                0.48672,                0.80225,              0.0081685,              0.0081685,              0.0081685
                     39,                0.99974,                0.48226,                0.85977,                 0.9654,                0.84674,                0.91147,                0.68254,                0.97539,                0.48509,                0.80191,               0.008119,               0.008119,               0.008119
                     40,                0.99643,                0.48305,                0.86016,                0.96494,                0.84654,                0.91142,                0.68386,                0.97284,                0.48358,                0.80155,              0.0080695,              0.0080695,              0.0080695
                     41,                0.99453,                0.47976,                0.85954,                0.96454,                0.84775,                0.91186,                0.68477,                0.97244,                 0.4825,                0.80125,                0.00802,                0.00802,                0.00802
                     42,                0.99196,                0.47853,                 0.8581,                0.96446,                0.84813,                 0.9118,                0.68493,                0.97108,                0.48074,                0.80089,              0.0079705,              0.0079705,              0.0079705
                     43,                0.98833,                0.47688,                0.85747,                 0.9649,                0.84792,                0.91189,                0.68569,                 0.9692,                0.48102,                0.80086,               0.007921,               0.007921,               0.007921
                     44,                0.98786,                0.47757,                0.85943,                 0.9647,                0.84797,                0.91187,                0.68627,                0.96633,                0.47961,                0.80062,              0.0078715,              0.0078715,              0.0078715
                     45,                0.98278,                0.47608,                0.85806,                 0.9645,                0.84785,                0.91178,                0.68802,                0.96122,                0.47918,                0.80026,               0.007822,               0.007822,               0.007822
                     46,                0.97661,                0.47181,                  0.857,                0.96404,                0.84791,                0.91131,                0.68828,                 0.9599,                0.47855,                0.79994,              0.0077725,              0.0077725,              0.0077725
                     47,                0.97811,                0.47301,                0.85747,                0.96436,                0.84694,                0.91129,                0.68883,                0.95945,                0.47918,                0.79959,               0.007723,               0.007723,               0.007723
                     48,                0.97561,                0.47338,                0.85733,                0.96512,                0.84638,                0.91127,                0.68892,                0.95807,                0.47881,                0.79937,              0.0076735,              0.0076735,              0.0076735
                     49,                0.97093,                 0.4681,                0.85645,                0.96435,                0.84653,                0.91161,                0.69009,                0.95735,                0.47718,                0.79915,               0.007624,               0.007624,               0.007624
                     50,                0.97173,                0.46909,                0.85628,                0.96528,                0.84661,                0.91177,                0.69138,                0.95471,                0.47532,                0.79884,              0.0075745,              0.0075745,              0.0075745
                     51,                0.96627,                0.46782,                0.85446,                0.96587,                0.84701,                0.91197,                 0.6927,                0.95205,                0.47393,                0.79859,               0.007525,               0.007525,               0.007525
